instrument_type,position_id,option_type,style,quantity,notional,underlying_symbol,underlying_price,strike,volatility,maturity_date,valuation_date,risk_free_rate,dividend_yield,currency,liquidity_haircut,model,fixed_rate,float_rate,day_count
forward,gold_fwd_000,call,european,3,100000.0,USDRUB,90.16498860856741,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_001,call,european,1,100000.0,USDRUB,90.10103012594928,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_002,call,european,5,100000.0,USDRUB,91.37246163936253,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_003,call,european,1,100000.0,USDRUB,93.36886320227902,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_004,call,european,5,100000.0,USDRUB,89.08431432147246,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_005,call,european,1,100000.0,USDRUB,87.90606487543515,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_006,call,european,-2,100000.0,USDRUB,91.86358404558959,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_007,call,european,5,100000.0,USDRUB,92.48888240360421,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_008,call,european,-2,100000.0,USDRUB,91.7861748444471,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_009,call,european,-1,100000.0,USDRUB,90.65703569709834,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_010,call,european,3,100000.0,USDRUB,91.87048738814974,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_011,call,european,5,100000.0,USDRUB,89.90820782323019,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_012,call,european,3,100000.0,USDRUB,90.7637434803705,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_013,call,european,-5,100000.0,USDRUB,91.44332976320625,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_014,call,european,-5,100000.0,USDRUB,89.29567318547605,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_015,call,european,-1,100000.0,USDRUB,90.28124658846224,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_016,call,european,-2,100000.0,USDRUB,90.92512136602049,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_017,call,european,1,100000.0,USDRUB,88.27940490552827,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_018,call,european,-2,100000.0,USDRUB,92.68913755084725,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
forward,gold_fwd_019,call,european,2,100000.0,USDRUB,89.8373634283421,90.0,0.0,2025-07-01,2025-01-01,0.05,0.0,RUB,0.0,,,,
